-----------------------------------------------
Infinite Cylinder Data File
Nmax: Auto-adjust
Mmax: 30

Domain data: Wavelength
(Min: 300,Max: 500,Step: 2)
Incid. Angle: 0.5 * Pi
Fixed Diameter: 100

Cylinder Refractive index: Fftgtgrom file C:\Users\Catee\Desktop\CRYSTALS_Si_sopra110.txt
Medium Refractive index: Fixed value = 1
-----------------------------------------------

Data Format:
[Wavelength (nm)]   [QscatI]   [QextI]   [QscatII]  [QextII]
___________________________________________________
300    2.19136314536634    2.77564174259348    0.962519869433982    1.47050857349999
302    2.1831143551208    2.78321661880772    0.956157626526015    1.47528389893837
304    2.175342966714    2.79004819106563    0.950355243630493    1.47960915730964
306    2.16876755965897    2.79602571339843    0.945242533677632    1.48292419847369
308    2.16331018694947    2.80203946499589    0.94031130980599    1.48541071004101
310    2.15881861300236    2.8078939355924    0.93562163535922    1.48714159753957
312    2.15515002173864    2.81320622062844    0.931326803353506    1.48815028599268
314    2.15259062296801    2.81896237923248    0.926972589037541    1.48840212095344
316    2.15039108840044    2.82463513520411    0.922694043836587    1.48833506068652
318    2.14887488396513    2.82995846988304    0.918668233469287    1.48767789269819
320    2.14810011135698    2.83559166613617    0.914580172292467    1.48650615947543
322    2.14721831000511    2.84067968198991    0.910700196208265    1.48525867111025
324    2.14712038130466    2.84659744412789    0.90651072590655    1.48355740232981
326    2.1477005390694    2.85211488624197    0.902588358204247    1.48127287020109
328    2.14853237432242    2.85803866923928    0.898471139770492    1.47883000596585
330    2.14961686870106    2.86410080270961    0.89428728994505    1.4761825357497
332    2.15014363193612    2.86946943067417    0.890290068388353    1.47373077998046
334    2.15186173830636    2.87515586049212    0.886304357340919    1.47048429383092
336    2.15366663920948    2.88048496756886    0.882458893007433    1.46706888513754
338    2.15602207472081    2.88597268869816    0.878590605803948    1.46326535206481
340    2.1585129677882    2.89142671540954    0.874716962114259    1.45931563866189
342    2.16183701418666    2.89749676353487    0.870657649002522    1.45487290721663
344    2.16563889355233    2.90310915189916    0.866867097172512    1.45001491155014
346    2.17029878185683    2.9088640430417    0.863133616106374    1.44459947625764
348    2.17561319955577    2.91479727527547    0.859407183222632    1.43877117092028
350    2.1822398241669    2.92108827622376    0.855741584632059    1.43216799299555
352    2.19059162137444    2.92775311971261    0.852227029735934    1.4245713548872
354    2.20093669785909    2.93500935747115    0.848839647605379    1.41590027991931
356    2.21432535557405    2.94412731164414    0.845293836042376    1.40585687007346
358    2.23004038472213    2.9550300921013    0.84160580298458    1.39504025440312
360    2.24834817856562    2.96937185507454    0.837428138620922    1.38399698513114
362    2.26774862404198    2.98709246434675    0.832914849424889    1.37409392707588
364    2.28775537361321    3.00867230588498    0.828440898251392    1.36644492840586
366    2.30723748608095    3.03437378164029    0.824580994779915    1.36264069275206
368    2.32706909114101    3.06471142194073    0.82231852561955    1.3631703008453
370    2.34961412658226    3.10171254292443    0.822327362105962    1.3677427331775
372    2.37867091968206    3.14955810801874    0.824268054234254    1.37480101199896
374    2.41408795753046    3.20937345489028    0.82454898977068    1.38007498527448
376    2.44829997500488    3.27696201069252    0.816004826487062    1.37822913757735
378    2.46358810328211    3.33361832401496    0.789862629202558    1.36253975726626
380    2.44558481700681    3.3491562076015    0.742556759624509    1.32451918162471
382    2.39404339318993    3.29388357665585    0.677387119813039    1.25440817806185
384    2.340048733172    3.18827677380471    0.616575427741249    1.16766041068837
386    2.30321530270063    3.07534561490675    0.569585910203507    1.08053473948657
388    2.28340214509031    2.97660692534399    0.534572545538103    0.997613133276198
390    2.2726945272867    2.90275145487794    0.508584307152444    0.92630085222771
392    2.26070458734095    2.84853080944631    0.487050661888579    0.869346902980448
394    2.23987236415313    2.80597415688538    0.467514805652347    0.827102438910225
396    2.20295263471503    2.76436778608927    0.447655418226042    0.795368639720742
398    2.14383974773722    2.71800542430132    0.427512916554043    0.774522032118635
400    2.0624955127753    2.66318953732195    0.407570739891789    0.762736401505481
402    1.94153000929181    2.58564040013887    0.385737798071592    0.759287799650754
404    1.79351207985131    2.49179206271623    0.36534210732464    0.76562464311976
406    1.61857834144904    2.38118511086255    0.347425116897961    0.784670496588182
408    1.42600862564113    2.25942350972651    0.333971637949291    0.819712476901467
410    1.23555207872326    2.14325044382614    0.329253665935128    0.87896564616702
412    1.07762413054981    2.05753331414642    0.339413253393464    0.970339725875217
414    0.989720462217823    2.04375706647864    0.37693335823194    1.11421552917667
416    0.995955099463863    2.13442855991547    0.46113916686286    1.3350525707021
418    1.09276492208127    2.32711332223085    0.607137920877116    1.63510532314326
420    1.25009615933741    2.57320686067879    0.834378260957519    2.02044814570364
422    1.42252466305525    2.75885656602735    1.13749453240035    2.45632148290632
424    1.58861566958678    2.79814885319095    1.51337564805962    2.90506230199295
426    1.73273536437042    2.7276782649959    1.86931838023466    3.23138585497453
428    1.86550845338886    2.65664072706407    2.11773127101112    3.35657697140722
430    1.99343968737792    2.62665361802835    2.23999902864229    3.30451504618579
432    2.11773852970914    2.63441699961349    2.25545329992396    3.13563274885504
434    2.23521898193769    2.66774036409901    2.20150366409495    2.91705344900229
436    2.34154420693749    2.71327541778295    2.11916916938154    2.70262572951062
438    2.42821138841989    2.75734123409851    2.03954960009391    2.52786750939487
440    2.52022351274791    2.81182908487706    1.9509433444577    2.35419080670407
442    2.60746683741284    2.87175451106494    1.86155977262556    2.19987233819151
444    2.68724786431783    2.92872639512513    1.78623238629968    2.07358383785331
446    2.76063478778986    2.98484066622644    1.7195175191569    1.96820899651405
448    2.83258852841039    3.04207503436739    1.66025050955716    1.87712660159875
