

-----------------------------------------------
Infinite Cylinder Data File
Nmax: Auto-adjust
Mmax: 30

Domain data: Wavelength
(Min: 500,Max: 2000,Step: 5)
Incid. Angle: 0.5 * Pi
Fixed Diameter: 100

Cylinder Refractive index: Fixed value = 1.5
Medium Refractive index: Fixed value = 1
-----------------------------------------------

Data Format:
[Wavelength (nm)]   [QscatI]   [QextI]   [QscatII]  [QextII]
___________________________________________________
500    0.491724833260351    0.491724833260351    0.0840609188081449    0.0840609188081449
505    0.480858184741109    0.480858184741109    0.0818175569226642    0.0818175569226643
510    0.47019092437109    0.470190924371091    0.0796498000671548    0.0796498000671548
515    0.459725551618245    0.459725551618245    0.0775546163262856    0.0775546163262856
520    0.449463903020366    0.449463903020366    0.0755291162862312    0.0755291162862311
525    0.439407201584297    0.439407201584297    0.0735705448599348    0.0735705448599347
530    0.429556104942099    0.429556104942099    0.0716762737380074    0.0716762737380074
535    0.419910751964846    0.419910751964846    0.0698437943988698    0.0698437943988697
540    0.410470807602803    0.410470807602803    0.068070711620701    0.068070711620701
545    0.401235505779752    0.401235505779752    0.0663547374453517    0.0663547374453517
550    0.392203690219927    0.392203690219927    0.0646936855508213    0.0646936855508213
555    0.383373853129355    0.383373853129355    0.0630854659943793    0.0630854659943792
560    0.374744171689932    0.374744171689932    0.0615280802930791    0.0615280802930791
565    0.366312542355284    0.366312542355285    0.0600196168124067    0.0600196168124068
570    0.358076612962784    0.358076612962784    0.0585582464372176    0.0585582464372175
575    0.350033812696864    0.350033812696864    0.0571422185020516    0.0571422185020516
580    0.342181379955437    0.342181379955437    0.0557698569604421    0.0557698569604421
585    0.334516388184321    0.334516388184322    0.0544395567750094    0.0544395567750094
590    0.327035769754685    0.327035769754685    0.05314978051202    0.05314978051202
595    0.319736337965935    0.319736337965935    0.0518990551257317    0.0518990551257316
600    0.312614807261679    0.312614807261679    0.0506859689192679    0.0506859689192679
605    0.305667811749703    0.305667811749703    0.0495091686700176    0.0495091686700177
610    0.2988919221186    0.2988919221186    0.0483673569086453    0.0483673569086454
615    0.292283661044123    0.292283661044123    0.0472592893417648    0.0472592893417648
620    0.285839517177609    0.285839517177609    0.0461837724091745    0.0461837724091745
625    0.279555957807291    0.279555957807291    0.0451396609673106    0.0451396609673106
630    0.273429440281053    0.273429440281053    0.0441258560912384    0.0441258560912384
635    0.267456422276377    0.267456422276377    0.0431413029881078    0.0431413029881078
640    0.261633371000052    0.261633371000052    0.0421849890155267    0.0421849890155266
645    0.255956771396664    0.255956771396664    0.041255941798793    0.0412559417987929
650    0.250423133441231    0.250423133441231    0.0403532274413559    0.0403532274413559
655    0.245028998587475    0.245028998587475    0.0394759488232747    0.0394759488232748
660    0.239770945439346    0.239770945439346    0.0386232439827932    0.0386232439827931
665    0.234645594709531    0.234645594709531    0.0377942845764784    0.0377942845764784
670    0.22964961352479    0.22964961352479    0.0369882744136674    0.0369882744136673
675    0.224779719134222    0.224779719134222    0.0362044480612323    0.0362044480612322
680    0.220032682072855    0.220032682072855    0.0354420695149329    0.0354420695149329
685    0.215405328829407    0.215405328829407    0.0347004309338449    0.0347004309338449
690    0.210894544063647    0.210894544063647    0.0339788514345719    0.0339788514345719
695    0.206497272415521    0.206497272415521    0.0332766759421411    0.0332766759421411
700    0.202210519945091    0.202210519945091    0.0325932740946661    0.0325932740946661
705    0.198031355239394    0.198031355239394    0.0319280391990269    0.0319280391990269
710    0.193956910219521    0.193956910219522    0.0312803872349772    0.0312803872349772
715    0.189984380678634    0.189984380678634    0.0306497559052326    0.0306497559052326
720    0.186111026579113    0.186111026579113    0.0300356037292302    0.0300356037292302
725    0.182334172134784    0.182334172134784    0.0294374091783814    0.0294374091783815
730    0.178651205701957    0.178651205701957    0.0288546698507526    0.0288546698507526
735    0.17505957950105    0.17505957950105    0.0282869016832264    0.0282869016832264
740    0.171556809188649    0.171556809188649    0.027733638199299    0.027733638199299
745    0.16814047329817    0.16814047329817    0.0271944297907662    0.0271944297907663
750    0.164808212565621    0.164808212565621    0.0266688430316458    0.0266688430316457
755    0.161557729155532    0.161557729155532    0.0261564600227702    0.0261564600227702
760    0.158386785800676    0.158386785800676    0.0256568777655663    0.0256568777655663
765    0.155293204867994    0.155293204867994    0.0251697075636137    0.0251697075636137
770    0.152274867361931    0.152274867361931    0.024694574450651    0.024694574450651
775    0.149329711875307    0.149329711875307    0.0242311166437624    0.0242311166437624
780    0.14645573349688    0.14645573349688    0.0237789850205473    0.0237789850205473
785    0.14365098268384    0.14365098268384    0.0233378426191327    0.0233378426191327
790    0.140913564106619    0.140913564106619    0.0229073641599488    0.0229073641599487
795    0.138241635472672    0.138241635472672    0.0224872355882422    0.0224872355882422
800    0.135633406335158    0.135633406335158    0.0220771536363521    0.0220771536363521
805    0.133087136891831    0.133087136891831    0.0216768254048254    0.0216768254048254
810    0.130601136778857    0.130601136778857    0.0212859679614908    0.0212859679614908
815    0.128173763863739    0.128173763863739    0.0209043079576586    0.0209043079576586
